[2025-07-31 14:42:00] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-31 15:00:59] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-31 15:01:54] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-07-31 17:27:40] [INFO] Occupancy fetched: room=fg#99, count=1
[2025-07-31 17:41:59] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-31 17:50:37] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-07-31 17:54:50] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-31 18:00:24] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-07-31 18:08:04] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-07-31 18:08:16] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-07-31 18:08:21] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-07-31 18:08:28] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-07-31 18:11:52] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-08-02 18:33:05] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-03 14:47:56] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-08-03 15:34:03] [INFO] Occupancy fetched: room=fg#05, count=0
[2025-08-04 16:59:23] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-08-04 17:56:54] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-08-04 21:35:08] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-07 17:35:54] [INFO] Occupancy fetched: room=fg#11, count=0
[2025-08-07 18:15:40] [INFO] Occupancy fetched: room=fg#11, count=0
[2025-08-08 17:18:56] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-08 18:11:54] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-08-08 19:22:52] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-08 19:45:58] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-08 19:46:51] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-08-08 19:49:04] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-08-08 19:50:10] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-08 19:50:38] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-08-08 19:54:01] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-09 15:05:28] [INFO] Occupancy fetched: room=fg#02, count=0
